id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
73125,Bright + Spacious In Balham + fibre broadband,380897,Anna,,Lambeth,51.44563,247.1042857,Private room,77,2,28,16-08-2022,0.2,1,281,14
73431,Two bedroom luxury Flat in Brixton with city view!,383525,Emi,,Lambeth,51.46161,253.386,Entire home/apt,120,3,77,05-09-2022,0.7,1,12,9
73884,Cosy Double studio in Zone 2 Hammersmith (2),216660,Boris,,Hammersmith and Fulham,51.49349,259.6677143,Entire home/apt,50,1,118,04-08-2022,0.84,11,158,45
78606,Peaceful Room Near Epping Forest,422362,Nicola,,Waltham Forest,51.57322,265.9494286,Private room,99,2,2,26-09-2019,0.06,1,365,0
78892,Bright single room in family home.,424230,Julia,,Southwark,51.46478,272.2311429,Private room,40,7,58,15-05-2022,0.64,1,2,2
79129,Double Room 2 Miles from Wimbledon in Morden SM4,425764,Danielle,,Merton,51.39648,278.5128571,Private room,36,1,159,06-09-2022,1.31,1,303,14
79571,Chelsea Studio by Kings Road London,428600,Nicholas,,Kensington and Chelsea,51.49096,284.7945714,Entire home/apt,99,2,13,03-07-2017,0.09,1,0,0
80123,Pretty Self Contained Coach House,432648,Melanie,,Wandsworth,51.45173,291.0762857,Entire home/apt,100,2,141,24-07-2022,1.03,1,60,7
80441,5min from the Big Ben,416812,Esther,,Lambeth,51.49297,297.358,Entire home/apt,95,20,90,15-03-2020,0.65,1,0,0
81052,Bright spacious 2 bed in Islington,438948,Aslak,,Islington,51.53917,303.6397143,Entire home/apt,133,6,10,06-04-2018,0.09,1,0,0
81080,Luxury Self contained Studio Apt.,439154,Lucy,,Richmond upon Thames,51.40644,309.9214286,Entire home/apt,170,3,14,23-07-2022,0.24,6,289,6
81410,LUx inCENTRAL LONDON NEAR OXFORD ST,441494,Fernando,,Camden,51.52139,316.2031429,Entire home/apt,400,45,213,20-10-2020,1.56,6,79,0
